epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,12875,0.29152,0.34713,0.94894,0.85742,0.88286,0.91654,0.7589,0.61707,0.53303,1.20873,0.000313729,0.000313729,0.000313729
84,13023.6,0.30354,0.35409,0.9607,0.85762,0.8959,0.9189,0.76049,0.60176,0.52126,1.18653,0.000297226,0.000297226,0.000297226
85,13177.3,0.30356,0.36882,0.95677,0.87777,0.87476,0.91936,0.74716,0.63204,0.50817,1.21904,0.000280723,0.000280723,0.000280723
86,13331,0.29754,0.35946,0.95296,0.86401,0.89147,0.91593,0.75628,0.61932,0.50856,1.21173,0.00026422,0.00026422,0.00026422
87,13489.1,0.29165,0.35139,0.94942,0.89637,0.85715,0.91644,0.75291,0.61604,0.51776,1.21905,0.000247716,0.000247716,0.000247716
88,13647,0.29262,0.34516,0.95643,0.85784,0.90531,0.91653,0.75627,0.60864,0.52143,1.20444,0.000231213,0.000231213,0.000231213
89,13810.5,0.28726,0.33244,0.95032,0.86128,0.88002,0.90733,0.75357,0.60164,0.53426,1.196,0.00021471,0.00021471,0.00021471
90,13968.4,0.29072,0.3311,0.95673,0.87746,0.88183,0.90918,0.75663,0.61214,0.52162,1.20759,0.000198206,0.000198206,0.000198206
91,14121.7,0.23299,0.22625,0.90684,0.85025,0.86949,0.9075,0.75524,0.6076,0.53176,1.21455,0.000181703,0.000181703,0.000181703
92,14275.9,0.24455,0.22055,0.91464,0.88034,0.8778,0.91343,0.76234,0.6002,0.51059,1.21578,0.0001652,0.0001652,0.0001652
93,14434.1,0.22913,0.21061,0.90112,0.89673,0.87119,0.91987,0.76765,0.60989,0.49326,1.21962,0.000148696,0.000148696,0.000148696
94,14592.9,0.22636,0.21067,0.90071,0.86991,0.88809,0.90758,0.75889,0.59907,0.52371,1.20038,0.000132193,0.000132193,0.000132193
95,14743.9,0.21698,0.19353,0.88919,0.87905,0.88596,0.91427,0.76617,0.60417,0.49634,1.20508,0.00011569,0.00011569,0.00011569
96,14892.4,0.21754,0.19108,0.88692,0.90679,0.84894,0.91632,0.76895,0.60101,0.50235,1.19355,9.91865e-05,9.91865e-05,9.91865e-05
97,15043.9,0.21212,0.19058,0.88799,0.88216,0.87782,0.91792,0.76971,0.60329,0.50469,1.22815,8.26832e-05,8.26832e-05,8.26832e-05
98,15194.7,0.21288,0.18367,0.88857,0.90461,0.86059,0.91512,0.77041,0.60331,0.50324,1.22268,6.61799e-05,6.61799e-05,6.61799e-05
99,15347.2,0.2079,0.18244,0.88667,0.89804,0.87054,0.91462,0.76799,0.60234,0.51115,1.21987,4.96766e-05,4.96766e-05,4.96766e-05
100,15495.9,0.2146,0.17719,0.89637,0.90971,0.85167,0.91797,0.77074,0.59213,0.50926,1.20056,3.31733e-05,3.31733e-05,3.31733e-05
