epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,7668.57,0.31741,0.38968,0.96274,0.8777,0.86879,0.93206,0.76621,0.61733,0.5082,1.21868,0.000577782,0.000577782,0.000577782
68,7781.33,0.32361,0.37932,0.97077,0.90706,0.8698,0.93089,0.77139,0.62394,0.50923,1.21248,0.000561279,0.000561279,0.000561279
69,7899.95,0.31831,0.38766,0.9658,0.88202,0.90767,0.93669,0.77438,0.62925,0.49005,1.22129,0.000544776,0.000544776,0.000544776
70,8012.53,0.31393,0.37638,0.96283,0.87079,0.89356,0.92266,0.76575,0.61237,0.51471,1.18398,0.000528272,0.000528272,0.000528272
71,8125.07,0.31635,0.38843,0.96517,0.90363,0.8986,0.93908,0.77342,0.62681,0.48916,1.20849,0.000511769,0.000511769,0.000511769
72,8238.56,0.3112,0.367,0.9611,0.88402,0.89882,0.92972,0.77338,0.61392,0.49611,1.1972,0.000495266,0.000495266,0.000495266
73,8351.47,0.31367,0.37089,0.962,0.86784,0.88898,0.91985,0.77624,0.60916,0.53762,1.19999,0.000478762,0.000478762,0.000478762
74,8463.95,0.30463,0.3594,0.96284,0.87546,0.87445,0.90899,0.75124,0.61915,0.55183,1.21555,0.000462259,0.000462259,0.000462259
75,8580.29,0.3048,0.34915,0.96172,0.89058,0.89519,0.92802,0.75766,0.62696,0.51773,1.21434,0.000445756,0.000445756,0.000445756
76,8693.51,0.30512,0.36434,0.95706,0.87506,0.89964,0.92915,0.76042,0.62578,0.51745,1.20035,0.000429253,0.000429253,0.000429253
77,8806.14,0.30689,0.36013,0.95803,0.88888,0.8968,0.92493,0.76699,0.61822,0.49352,1.21022,0.000412749,0.000412749,0.000412749
78,8924.96,0.29692,0.34738,0.95197,0.87876,0.87506,0.92415,0.76576,0.61942,0.53171,1.20724,0.000396246,0.000396246,0.000396246
79,101.269,0.29419,0.35304,0.95053,0.86727,0.88621,0.9306,0.78047,0.61411,0.51491,1.21667,0.000379743,0.000379743,0.000379743
80,218.533,0.30068,0.35131,0.96115,0.88092,0.87052,0.9219,0.7653,0.6107,0.52012,1.20862,0.000363239,0.000363239,0.000363239
81,328.345,0.2936,0.33566,0.95473,0.85496,0.88447,0.93098,0.77167,0.62798,0.51309,1.22475,0.000346736,0.000346736,0.000346736
82,440.789,0.29558,0.3343,0.95599,0.87733,0.90187,0.9244,0.76727,0.61595,0.49326,1.20441,0.000330233,0.000330233,0.000330233
